"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"1760 Storfors","utländsk bakgrund","18-67","2024",467
"1761 Hammarö","utländsk bakgrund","18-67","2014",810
"1761 Hammarö","utländsk bakgrund","18-67","2024",1093
"1762 Munkfors","utländsk bakgrund","18-67","2014",256
"1762 Munkfors","utländsk bakgrund","18-67","2024",398
"1763 Forshaga","utländsk bakgrund","18-67","2014",697
"1763 Forshaga","utländsk bakgrund","18-67","2024",855
"1764 Grums","utländsk bakgrund","18-67","2014",673
"1764 Grums","utländsk bakgrund","18-67","2024",856
"1765 Årjäng","utländsk bakgrund","18-67","2014",1410
"1765 Årjäng","utländsk bakgrund","18-67","2024",1666
"1766 Sunne","utländsk bakgrund","18-67","2014",832
"1766 Sunne","utländsk bakgrund","18-67","2024",1187
"1780 Karlstad","utländsk bakgrund","18-67","2014",8820
"1780 Karlstad","utländsk bakgrund","18-67","2024",13528
"1781 Kristinehamn","utländsk bakgrund","18-67","2014",2261
"1781 Kristinehamn","utländsk bakgrund","18-67","2024",2688
"1782 Filipstad","utländsk bakgrund","18-67","2014",1104
"1782 Filipstad","utländsk bakgrund","18-67","2024",1253
"1783 Hagfors","utländsk bakgrund","18-67","2014",1007
"1783 Hagfors","utländsk bakgrund","18-67","2024",1461
"1784 Arvika","utländsk bakgrund","18-67","2014",2224
"1784 Arvika","utländsk bakgrund","18-67","2024",2672
"1785 Säffle","utländsk bakgrund","18-67","2014",1179
"1785 Säffle","utländsk bakgrund","18-67","2024",1656
"1814 Lekeberg","utländsk bakgrund","18-67","2014",278
"1814 Lekeberg","utländsk bakgrund","18-67","2024",529
"1860 Laxå","utländsk bakgrund","18-67","2014",682
"1860 Laxå","utländsk bakgrund","18-67","2024",750
"1861 Hallsberg","utländsk bakgrund","18-67","2014",1453
"1861 Hallsberg","utländsk bakgrund","18-67","2024",2321
"1862 Degerfors","utländsk bakgrund","18-67","2014",1008
"1862 Degerfors","utländsk bakgrund","18-67","2024",1165
"1863 Hällefors","utländsk bakgrund","18-67","2014",877
"1863 Hällefors","utländsk bakgrund","18-67","2024",881
"1864 Ljusnarsberg","utländsk bakgrund","18-67","2014",677
"1864 Ljusnarsberg","utländsk bakgrund","18-67","2024",575
"1880 Örebro","utländsk bakgrund","18-67","2014",21795
"1880 Örebro","utländsk bakgrund","18-67","2024",31825
"1881 Kumla","utländsk bakgrund","18-67","2014",2011
"1881 Kumla","utländsk bakgrund","18-67","2024",2954
"1882 Askersund","utländsk bakgrund","18-67","2014",594
"1882 Askersund","utländsk bakgrund","18-67","2024",862
"1883 Karlskoga","utländsk bakgrund","18-67","2014",3598
"1883 Karlskoga","utländsk bakgrund","18-67","2024",4358
"1884 Nora","utländsk bakgrund","18-67","2014",913
"1884 Nora","utländsk bakgrund","18-67","2024",1109
"1885 Lindesberg","utländsk bakgrund","18-67","2014",2518
"1885 Lindesberg","utländsk bakgrund","18-67","2024",2998
"1904 Skinnskatteberg","utländsk bakgrund","18-67","2014",661
"1904 Skinnskatteberg","utländsk bakgrund","18-67","2024",614
"1907 Surahammar","utländsk bakgrund","18-67","2014",1731
"1907 Surahammar","utländsk bakgrund","18-67","2024",1615
"1960 Kungsör","utländsk bakgrund","18-67","2014",1047
"1960 Kungsör","utländsk bakgrund","18-67","2024",1346
"1961 Hallstahammar","utländsk bakgrund","18-67","2014",2462
"1961 Hallstahammar","utländsk bakgrund","18-67","2024",2857
"1962 Norberg","utländsk bakgrund","18-67","2014",646
"1962 Norberg","utländsk bakgrund","18-67","2024",584
"1980 Västerås","utländsk bakgrund","18-67","2014",26259
"1980 Västerås","utländsk bakgrund","18-67","2024",38001
"1981 Sala","utländsk bakgrund","18-67","2014",1993
"1981 Sala","utländsk bakgrund","18-67","2024",2839
"1982 Fagersta","utländsk bakgrund","18-67","2014",2668
"1982 Fagersta","utländsk bakgrund","18-67","2024",3001
"1983 Köping","utländsk bakgrund","18-67","2014",4077
"1983 Köping","utländsk bakgrund","18-67","2024",4829
"1984 Arboga","utländsk bakgrund","18-67","2014",1445
"1984 Arboga","utländsk bakgrund","18-67","2024",1754
"2021 Vansbro","utländsk bakgrund","18-67","2014",302
"2021 Vansbro","utländsk bakgrund","18-67","2024",554
"2023 Malung-Sälen","utländsk bakgrund","18-67","2014",635
"2023 Malung-Sälen","utländsk bakgrund","18-67","2024",1069
"2026 Gagnef","utländsk bakgrund","18-67","2014",606
"2026 Gagnef","utländsk bakgrund","18-67","2024",660
"2029 Leksand","utländsk bakgrund","18-67","2014",873
"2029 Leksand","utländsk bakgrund","18-67","2024",1246
"2031 Rättvik","utländsk bakgrund","18-67","2014",428
"2031 Rättvik","utländsk bakgrund","18-67","2024",635
"2034 Orsa","utländsk bakgrund","18-67","2014",435
"2034 Orsa","utländsk bakgrund","18-67","2024",626
"2039 Älvdalen","utländsk bakgrund","18-67","2014",334
"2039 Älvdalen","utländsk bakgrund","18-67","2024",490
"2061 Smedjebacken","utländsk bakgrund","18-67","2014",957
"2061 Smedjebacken","utländsk bakgrund","18-67","2024",919
"2062 Mora","utländsk bakgrund","18-67","2014",1011
"2062 Mora","utländsk bakgrund","18-67","2024",1559
"2080 Falun","utländsk bakgrund","18-67","2014",4317
"2080 Falun","utländsk bakgrund","18-67","2024",5517
"2081 Borlänge","utländsk bakgrund","18-67","2014",6578
"2081 Borlänge","utländsk bakgrund","18-67","2024",8544
